Nr,Kod stacji,Nazwa stacji,Adres,WGS84 φ N,WGS84 λ E
450,MpKrakAlKras,"Kraków, Aleja Krasińskiego",al. Krasińskiego,50.057678,19.926189
451,MpKrakBujaka,"Kraków, ul. Bujaka",ul. Bujaka,50.010575,19.949189
452,MpKrakBulwar,"Kraków, ul. Bulwarowa",ul. Bulwarowa,50.069308,20.053492
453,MpKrakDietla,"Kraków, ul. Dietla",ul. Dietla,50.057447,19.946008
454,MpKrakKamien,"Kraków, ul. Kamieńskiego",ul. Kamieńskiego,50.024605,19.978460
455,MpKrakOsPias,"Kraków, os. Piastów",os. Piastów,50.098508,20.018269
460,MpKrakSwoszo,"Kraków, os. Swoszowice",ul. Lusińska,49.991442,19.936792
461,MpKrakTelime,"Kraków, ul. Telimeny",ul. Telimeny 9,50.019036,20.016822
462,MpKrakWadow,"Kraków, os. Wadów",Wadów,50.100569,20.122561
463,MpKrakZloRog,"Kraków, ul. Złoty Róg",Złoty Róg,50.081197,19.895358
456,MpKrakowWIOSPrad6115,"Krowodrza-Kraków, szpital Jana Pawła II",ul. Prądnicka,50.087500,19.926111
457,MpKrakowWSSEKapi6108,Kraków Swoszowice Kąpielowa,ul. Swoszowice Kąpielowa 70,49.991667,19.935000
458,MpKrakowWSSEPrad6102,Krakow Pradnicka 76,ul. Prądnicka 76,50.087500,19.938056
459,MpKrakowWSSERPod6113,Kraków Rynek Podgórski,ul. Rynek Podgórski,50.040000,19.943333
